Object number,Object name,Delta mag,separation (mas),color g-R ,color_g-R_error,color R-i,color R-i error,path,cycle_min,cycle_max,P_expected,download key,yearly_analysis
4709,Ennomos,0.5,500,0.3708,0.0209,0.2715,0.0147,/home/flavia/Documents/ongoing_work/ZTF_2024-2025/Ennomos,0.5,12,12.27,n,n
136108,Haumea,0.5,500,0,0,0,0,/home/flavia/Documents/ongoing_work/ZTF_2024-2025/Haumea,2.05,12,3.915341,n,n
